不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
1566,おおくの,多くの,很多的,0,res://assets/words/jp_word_1566.png,,0,0,2
1567,でんとうてきな,伝統的な,传统的,0,res://assets/words/jp_word_1567.png,,0,0,2
1568,もっとも,最も,最,0,res://assets/words/jp_word_1568.png,,0,0,2
1569,ひじょうに,非常に,非常,0,res://assets/words/jp_word_1569.png,,0,0,2
1570,かんこうきゃく,観光客,,0,res://assets/words/jp_word_1570.png,,0,0,2
1571,しょくパン,食パン,白面包,0,res://assets/words/jp_word_1571.png,,0,0,2
1572,やきとり,焼き鳥,烤鸡肉串,0,res://assets/words/jp_word_1572.png,,0,0,2
1573,かいてんずし,回転ずし,回转寿司,0,res://assets/words/jp_word_1573.png,,0,0,2
1574,だいすきな,大好きな,非常喜欢的,0,res://assets/words/jp_word_1574.png,,0,0,2
1575,いちどに,一度に,一次,0,res://assets/words/jp_word_1575.png,,0,0,2
1576,あっというまに,あっという間に,转眼之间,0,res://assets/words/jp_word_1576.png,,0,0,2
1577,きかんげんてい,期間限定,限定期间,0,res://assets/words/jp_word_1577.png,,0,0,2
1578,ちゅうがく 2 ねんせい,中学 2 年生,初中二年级学生,0,res://assets/words/jp_word_1578.png,,0,0,2
1579,もったいない,,浪费,0,res://assets/words/jp_word_1579.png,,0,0,2
1580,むだづかい,無駄遣い,乱花钱,0,res://assets/words/jp_word_1580.png,,0,0,2
1581,けんこうグッズ,健康グッズ,健康用品,0,res://assets/words/jp_word_1581.png,,0,0,2
1582,すうねんまえ,数年前,几年前,0,res://assets/words/jp_word_1582.png,,0,0,2
1583,サムライ,,武士,0,res://assets/words/jp_word_1583.png,,0,0,2
1584,きくひん,作品,作品,0,res://assets/words/jp_word_1584.png,,0,0,2
1585,プォー,,河粉(越南面的一种),0,res://assets/words/jp_word_1585.png,,0,0,2
1586,ヌードル,,面条,0,res://assets/words/jp_word_1586.png,,0,0,2
1587,ストーブ,,炉子,0,res://assets/words/jp_word_1587.png,,0,0,2
1588,ガスコンロ,,煤气灶,0,res://assets/words/jp_word_1588.png,,0,0,2
1589,ゆれ,揺れ,摇晃,0,res://assets/words/jp_word_1589.png,,0,0,2
1590,ゆれがおさまる,揺れがおさまる,停止摇晃,0,res://assets/words/jp_word_1590.png,,0,0,2
1591,あわてる,慌てる,慌乱,0,res://assets/words/jp_word_1591.png,,0,0,2
1592,しょくりょう,食料,食品,0,res://assets/words/jp_word_1592.png,,0,0,2
1593,そのほか,その他,另外,0,res://assets/words/jp_word_1593.png,,0,0,2
1594,まんいち,万ー,万ー,0,res://assets/words/jp_word_1594.png,,0,0,2
1595,れんらくほうはほう,連絡方法,联系方法,0,res://assets/words/jp_word_1595.png,,0,0,2
1596,ひなんばしょ,避難場所,,0,res://assets/words/jp_word_1596.png,,0,0,2
1597,つなみちゅういほう,津波注意報,海啸警报,0,res://assets/words/jp_word_1597.png,,0,0,2
1598,ひなんくんれん,避難訓練,防灾训练,0,res://assets/words/jp_word_1598.png,,0,0,2
1599,ふしぎな,不思議な,不可思议,0,res://assets/words/jp_word_1599.png,,0,0,2
1600,こうふくかん,幸福感,幸福感,0,res://assets/words/jp_word_1600.png,,0,0,2
1601,こうふくかんをもつ,幸福感を持つ,有幸福感,0,res://assets/words/jp_word_1601.png,,0,0,2
1602,どんどん,,不断地,0,res://assets/words/jp_word_1602.png,,0,0,2
1603,おや,親,父母,0,res://assets/words/jp_word_1603.png,,0,0,2
1604,けいたいでんわ,携帯電話,手机,0,res://assets/words/jp_word_1604.png,,0,0,2
1605,スマートホン (スマホ),,智能手机,0,res://assets/words/jp_word_1605.png,,0,0,2
1606,ちょうさ,調査,,0,res://assets/words/jp_word_1606.png,,0,0,2
1607,しょうがくせい,小学生,,0,res://assets/words/jp_word_1607.png,,0,0,2
1608,パーセント,%,%,0,res://assets/words/jp_word_1608.png,,0,0,2
1609,ちゅうがくせい,中学生,,0,res://assets/words/jp_word_1609.png,,0,0,2
1610,せんよう,専用,,0,res://assets/words/jp_word_1610.png,,0,0,2
1611,タブレット,,平板电脑,0,res://assets/words/jp_word_1611.png,,0,0,2
1612,おとな,大人,成人,0,res://assets/words/jp_word_1612.png,,0,0,2
1613,ブランド,,品牌,0,res://assets/words/jp_word_1613.png,,0,0,2
1614,みかける,見かける,看到,0,res://assets/words/jp_word_1614.png,,0,0,2
1615,これら,,这些,0,res://assets/words/jp_word_1615.png,,0,0,2
1616,こうかな,高価な,昂贵的,0,res://assets/words/jp_word_1616.png,,0,0,2
1617,かず,数,数目,0,res://assets/words/jp_word_1617.png,,0,0,2
1618,ねんねん,年々,逐年,0,res://assets/words/jp_word_1618.png,,0,0,2
